report_code,report_title,zone_name,fight_id,fight_name,difficulty,kill,fight_percentage,boss_percentage,last_phase,duration_seconds,start_time_utc,end_time_utc,start_time_epoch_ms
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,1,Dancing Mad,100,False,96.97,69.72,1,73.8,2026-06-03T18:05:30.643000+00:00,2026-06-03T18:06:44.397000+00:00,1780509930643
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,2,Dancing Mad,100,False,95.89,58.95,1,114.3,2026-06-03T18:07:27.923000+00:00,2026-06-03T18:09:22.222000+00:00,1780510047923
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,3,Dancing Mad,100,False,97.47,74.71,1,60.2,2026-06-03T18:09:49.304000+00:00,2026-06-03T18:10:49.518000+00:00,1780510189304
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,4,Dancing Mad,100,False,94.77,47.72,1,141.4,2026-06-03T18:11:08.367000+00:00,2026-06-03T18:13:29.737000+00:00,1780510268367
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,5,Dancing Mad,100,False,95.23,52.34,1,110.4,2026-06-03T18:14:08.553000+00:00,2026-06-03T18:15:58.979000+00:00,1780510448553
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,6,Dancing Mad,100,False,93.27,32.7,1,190.6,2026-06-03T18:16:26.451000+00:00,2026-06-03T18:19:37.008000+00:00,1780510586451
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,7,Dancing Mad,100,False,91.62,16.24,1,208.4,2026-06-03T18:20:26.056000+00:00,2026-06-03T18:23:54.470000+00:00,1780510826056
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,8,Dancing Mad,100,False,92.23,22.34,1,208.7,2026-06-03T18:24:35.369000+00:00,2026-06-03T18:28:04.050000+00:00,1780511075369
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,9,Dancing Mad,100,False,94.97,49.73,1,116.0,2026-06-03T18:28:54.830000+00:00,2026-06-03T18:30:50.784000+00:00,1780511334830
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,10,Dancing Mad,100,False,93.42,34.27,1,194.1,2026-06-03T18:31:10.786000+00:00,2026-06-03T18:34:24.845000+00:00,1780511470786
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,11,Dancing Mad,100,False,94.72,47.26,1,147.9,2026-06-03T18:35:01.704000+00:00,2026-06-03T18:37:29.651000+00:00,1780511701704
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,12,Dancing Mad,100,False,95.8,58.03,1,97.2,2026-06-03T18:37:49.003000+00:00,2026-06-03T18:39:26.231000+00:00,1780511869003
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,13,Dancing Mad,100,False,92.61,26.14,1,198.5,2026-06-03T18:39:57.840000+00:00,2026-06-03T18:43:16.314000+00:00,1780511997840
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,14,Dancing Mad,100,False,91.63,16.33,1,203.8,2026-06-03T18:44:47.163000+00:00,2026-06-03T18:48:10.917000+00:00,1780512287163
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,15,Dancing Mad,100,False,91.76,17.67,1,204.3,2026-06-03T18:48:43.726000+00:00,2026-06-03T18:52:08.035000+00:00,1780512523726
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,16,Dancing Mad,100,False,95.79,57.93,1,110.5,2026-06-03T18:52:35.348000+00:00,2026-06-03T18:54:25.898000+00:00,1780512755348
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,17,Dancing Mad,100,False,92.43,24.31,1,208.2,2026-06-03T18:54:44.071000+00:00,2026-06-03T18:58:12.289000+00:00,1780512884071
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,18,Dancing Mad,100,False,92.29,22.94,1,190.2,2026-06-03T18:58:33.543000+00:00,2026-06-03T19:01:43.731000+00:00,1780513113543
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,19,Dancing Mad,100,False,91.92,19.2,1,196.0,2026-06-03T19:07:33.514000+00:00,2026-06-03T19:10:49.543000+00:00,1780513653514
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,20,Dancing Mad,100,False,98.57,85.74,1,28.7,2026-06-03T19:11:15.873000+00:00,2026-06-03T19:11:44.551000+00:00,1780513875873
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,21,Dancing Mad,100,False,91.92,19.23,1,196.1,2026-06-03T19:12:02.117000+00:00,2026-06-03T19:15:18.195000+00:00,1780513922117
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,22,Dancing Mad,100,False,91.64,16.42,1,211.3,2026-06-03T19:15:44.676000+00:00,2026-06-03T19:19:15.972000+00:00,1780514144676
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,23,Dancing Mad,100,False,86.47,82.38,2,263.8,2026-06-03T19:20:21.214000+00:00,2026-06-03T19:24:44.983000+00:00,1780514421214
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,24,Dancing Mad,100,False,92.35,23.53,1,201.8,2026-06-03T19:25:11.594000+00:00,2026-06-03T19:28:33.366000+00:00,1780514711594
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,25,Dancing Mad,100,False,97.49,74.93,1,57.8,2026-06-03T19:29:44.224000+00:00,2026-06-03T19:30:42.024000+00:00,1780514984224
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,26,Dancing Mad,100,False,95.6,56.02,1,97.3,2026-06-03T19:31:00.508000+00:00,2026-06-03T19:32:37.782000+00:00,1780515060508
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,27,Dancing Mad,100,False,92.5,25.06,1,198.4,2026-06-03T19:32:56.272000+00:00,2026-06-03T19:36:14.634000+00:00,1780515176272
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,28,Dancing Mad,100,False,91.68,16.8,1,207.4,2026-06-03T19:36:35.168000+00:00,2026-06-03T19:40:02.617000+00:00,1780515395168
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,29,Dancing Mad,100,False,93.09,30.97,1,200.4,2026-06-03T19:40:30.910000+00:00,2026-06-03T19:43:51.358000+00:00,1780515630910
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,30,Dancing Mad,100,False,98.3,83.02,1,36.1,2026-06-03T19:46:19.391000+00:00,2026-06-03T19:46:55.444000+00:00,1780515979391
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,31,Dancing Mad,100,False,95.21,52.11,1,111.2,2026-06-03T19:47:12.550000+00:00,2026-06-03T19:49:03.767000+00:00,1780516032550
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,32,Dancing Mad,100,False,92.19,21.92,1,203.2,2026-06-03T19:49:22.434000+00:00,2026-06-03T19:52:45.623000+00:00,1780516162434
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,33,Dancing Mad,100,False,91.53,15.37,1,210.6,2026-06-03T19:53:29.728000+00:00,2026-06-03T19:57:00.279000+00:00,1780516409728
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,34,Dancing Mad,100,False,95.99,59.94,1,122.2,2026-06-03T19:57:19.037000+00:00,2026-06-03T19:59:21.192000+00:00,1780516639037
P7JKpRXdxf4C9caW,Dancing Mad (Ultimate) P1 into P2,Dancing Mad,35,Dancing Mad,100,False,91.65,16.53,1,206.8,2026-06-03T20:06:50.357000+00:00,2026-06-03T20:10:17.167000+00:00,1780517210357
